Validator,PT_VERSION,2.11.0
Validator,HIP_VERSION,713
Validator,HIPBLASLT_VERSION,100300-02d4f738fc
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.4.0.02d4f738fc
GemmTunableOp_BFloat16_TN,tn_768_256_768_ld_768_768_768,Default,0.0213
GemmTunableOp_float_NN,nn_256_32_1_ld_0_1_256,Gemm_Hipblaslt_1669,0.0139878
GemmStridedBatchedTunableOp_float_NN,nn_256_256_64_B_12_ld_256_64_256,Gemm_Rocblas_-446,0.0685822
GemmStridedBatchedTunableOp_float_NN,nn_64_256_256_B_12_ld_64_256_64,Gemm_Rocblas_-445,0.0617477
GemmTunableOp_BFloat16_TN,tn_2048_256_768_ld_768_768_2048,Gemm_Rocblas_-1162084624,0.041164
GemmTunableOp_BFloat16_TN,tn_768_256_2048_ld_2048_2048_768,Default,0.0475412
GemmAndBiasTunableOp_float_TN,tn_768_1_256_ld_256_256_768,Gemm_Hipblaslt_1948,0.0166163
GemmTunableOp_float_TN,tn_1024_257_768_ld_768_768_1024,Gemm_Hipblaslt_1823,0.108721
GemmTunableOp_float_TN,tn_1024_257_1024_ld_1024_1024_1024,Gemm_Hipblaslt_1851,0.149032
GemmTunableOp_float_TN,tn_1024_1_768_ld_768_768_1024,Gemm_Hipblaslt_1926,0.0262777
GemmTunableOp_float_TN,tn_1024_1_1024_ld_1024_1024_1024,Gemm_Rocblas_-9,0.0315688
GemmAndBiasTunableOp_float_TN,tn_1024_1_256_ld_256_256_1024,Gemm_Hipblaslt_1930,0.0164224
GemmAndBiasTunableOp_float_TN,tn_1024_1_1024_ld_1024_1024_1024,Gemm_Hipblaslt_1927,0.0239593
GemmTunableOp_float_TT,tt_1024_2045_256_ld_256_2045_1024,Gemm_Rocblas_-1162085433,0.62641
GemmAndBiasTunableOp_float_TN,tn_6144_1_1024_ld_1024_1024_6144,Gemm_Hipblaslt_1948,0.0758875
GemmAndBiasTunableOp_float_TN,tn_1024_2109_4096_ld_4096_4096_1024,Gemm_Hipblaslt_1750,3.64275
GemmAndBiasTunableOp_float_TN,tn_1024_2112_4096_ld_4096_4096_1024,Gemm_Hipblaslt_1783,3.6878
GemmAndBiasTunableOp_float_TN,tn_8192_2109_1024_ld_1024_1024_8192,Gemm_Hipblaslt_1857,8.03759
GemmAndBiasTunableOp_float_TN,tn_8192_2112_1024_ld_1024_1024_8192,Gemm_Hipblaslt_1750,7.71902
GemmAndBiasTunableOp_float_TN,tn_1024_2045_1024_ld_1024_1024_1024,Gemm_Hipblaslt_1855,0.884036
GemmAndBiasTunableOp_float_TN,tn_1024_2048_1024_ld_1024_1024_1024,Gemm_Hipblaslt_1836,0.914421
GemmTunableOp_float_TN,tn_1024_2109_1024_ld_1024_1024_1024,Gemm_Hipblaslt_1842,1.15643
GemmTunableOp_float_TN,tn_1024_2112_1024_ld_1024_1024_1024,Gemm_Hipblaslt_1834,1.12386
GemmTunableOp_float_TT,tt_256_10_256_ld_256_10_256,Default,0
GemmTunableOp_float_TN,tn_1024_10_256_ld_256_256_1024,Default,0
GemmAndBiasTunableOp_float_TN,tn_1024_74_4096_ld_4096_4096_1024,Default,0
GemmAndBiasTunableOp_float_TN,tn_1024_76_4096_ld_4096_4096_1024,Default,0
GemmAndBiasTunableOp_float_TN,tn_8192_74_1024_ld_1024_1024_8192,Default,0
GemmAndBiasTunableOp_float_TN,tn_8192_76_1024_ld_1024_1024_8192,Default,0
GemmAndBiasTunableOp_float_TN,tn_1024_10_1024_ld_1024_1024_1024,Default,0
GemmAndBiasTunableOp_float_TN,tn_1024_12_1024_ld_1024_1024_1024,Default,0
GemmTunableOp_float_TN,tn_1024_74_1024_ld_1024_1024_1024,Default,0
GemmTunableOp_float_TN,tn_1024_76_1024_ld_1024_1024_1024,Default,0
GemmStridedBatchedTunableOp_float_NN,nn_64_74_257_B_16_ld_2048_257_64,Default,0
GemmStridedBatchedTunableOp_float_NN,nn_64_76_260_B_16_ld_64_260_64,Default,0
GemmStridedBatchedTunableOp_float_TN,tn_257_74_64_B_16_ld_64_64_257,Default,0
GemmStridedBatchedTunableOp_float_NN,nn_260_76_64_B_16_ld_260_64_260,Default,0
GemmTunableOp_float_TN,tn_2048_257_1024_ld_1024_1024_2048,Default,0
GemmTunableOp_float_TN,tn_2048_260_1024_ld_1024_1024_2048,Default,0
GemmTunableOp_float_NN,nn_256_32_1_ld_256_1_256,Default,0
GemmStridedBatchedTunableOp_float_TN,tn_256_256_64_B_12_ld_768_768_256,Default,0
GemmStridedBatchedTunableOp_float_NN,nn_64_256_256_B_12_ld_768_256_64,Default,0
GemmTunableOp_float_TN,tn_3072_74_1024_ld_1024_1024_3072,Default,0
GemmStridedBatchedTunableOp_float_TN,tn_74_74_64_B_16_ld_64_64_74,Default,0
